NameStation,Year,Month,Day,Fecha,Tprom
Aguafria,2012,2,16,2/16/2012,25.888
Aguafria,2012,2,17,2/17/2012,22.875
Aguafria,2012,2,18,2/18/2012,23.5875
Aguafria,2012,2,19,2/19/2012,19.88541667
Aguafria,2012,2,20,2/20/2012,20.13125
Aguafria,2012,2,21,2/21/2012,22.43541667
Aguafria,2012,2,22,2/22/2012,21.92708333
Aguafria,2012,2,23,2/23/2012,23.97916667
Aguafria,2012,2,24,2/24/2012,21.81458333
Aguafria,2012,2,25,2/25/2012,14.80416667
Aguafria,2012,2,26,2/26/2012,17.94166667
Aguafria,2012,2,27,2/27/2012,19.98125
Aguafria,2012,2,28,2/28/2012,22.84791667
Aguafria,2012,2,29,2/29/2012,23.76458333
Aguafria,2012,3,1,3/1/2012,23.37291667
Aguafria,2012,3,2,3/2/2012,24.79583333
Aguafria,2012,3,3,3/3/2012,22.7625
Aguafria,2012,3,4,3/4/2012,20.25208333
Aguafria,2012,3,5,3/5/2012,20.19166667
Aguafria,2012,3,6,3/6/2012,18.87916667
Aguafria,2012,3,7,3/7/2012,21.47708333
Aguafria,2012,3,8,3/8/2012,22.7
Aguafria,2012,3,9,3/9/2012,22.47708333
Aguafria,2012,3,10,3/10/2012,17.10625
Aguafria,2012,3,11,3/11/2012,20.15652174
Aguafria,2012,3,12,3/12/2012,22.00833333
Aguafria,2012,3,13,3/13/2012,23.95416667
Aguafria,2012,3,14,3/14/2012,24.05
Aguafria,2012,3,15,3/15/2012,23.24375
Aguafria,2012,3,16,3/16/2012,23.94791667
Aguafria,2012,3,17,3/17/2012,24.25
Aguafria,2012,3,18,3/18/2012,24.95208333
Aguafria,2012,3,19,3/19/2012,25.76875
Aguafria,2012,3,20,3/20/2012,25.57291667
Aguafria,2012,3,21,3/21/2012,22.17708333
Aguafria,2012,3,22,3/22/2012,22.22708333
Aguafria,2012,3,23,3/23/2012,22.40416667
Aguafria,2012,3,24,3/24/2012,24.5
Aguafria,2012,3,25,3/25/2012,25.125
Aguafria,2012,3,26,3/26/2012,25.01458333
Aguafria,2012,3,27,3/27/2012,24.52708333
Aguafria,2012,3,28,3/28/2012,25.46041667
Aguafria,2012,3,29,3/29/2012,25.76666667
Aguafria,2012,3,30,3/30/2012,26.29166667
Aguafria,2012,3,31,3/31/2012,25.06041667
Aguafria,2012,4,1,4/1/2012,24.5875
Aguafria,2012,4,2,4/2/2012,23.15714286
Aguafria,2012,4,3,4/3/2012,24.51458333
Aguafria,2012,4,4,4/4/2012,24.73958333
Aguafria,2012,4,5,4/5/2012,25.92291667
Aguafria,2012,4,6,4/6/2012,26.08125
