NameStation,Year,Month,Day,Fecha,Tprom
Batan,2012,2,7,2012-2-7,12.7
Batan,2012,2,8,2012-2-8,12.31333333
Batan,2012,2,9,2012-2-9,11.4125
Batan,2012,2,10,2012-2-10,10.29791667
Batan,2012,2,11,2012-2-11,12.57708333
Batan,2012,2,12,2012-2-12,14.01458333
Batan,2012,2,13,2012-2-13,15.57708333
Batan,2012,2,14,2012-2-14,15.84791667
Batan,2012,2,15,2012-2-15,15.03958333
Batan,2012,2,16,2012-2-16,14.49583333
Batan,2012,2,17,2012-2-17,14.74375
Batan,2012,2,18,2012-2-18,15.41666667
Batan,2012,2,19,2012-2-19,14.17291667
Batan,2012,2,20,2012-2-20,14.93541667
Batan,2012,2,21,2012-2-21,15.52916667
Batan,2012,2,22,2012-2-22,14.77916667
Batan,2012,2,23,2012-2-23,16.24166667
Batan,2012,2,24,2012-2-24,14.5875
Batan,2012,2,25,2012-2-25,12.83125
Batan,2012,2,26,2012-2-26,13.53333333
Batan,2012,2,27,2012-2-27,17.88076923
Batan,2012,2,28,2012-2-28,14.60625
Batan,2012,2,29,2012-2-29,15.46111111
Batan,2012,3,1,2012-3-1,15.76805556
Batan,2012,3,2,2012-3-2,16.96319444
Batan,2012,3,3,2012-3-3,17.80486111
Batan,2012,3,4,2012-3-4,14.74513889
Batan,2012,3,5,2012-3-5,13.84861111
Batan,2012,3,6,2012-3-6,13.80763889
Batan,2012,3,7,2012-3-7,15.93055556
Batan,2012,3,8,2012-3-8,17.82291667
Batan,2012,3,9,2012-3-9,16.60138889
Batan,2012,3,10,2012-3-10,14.43541667
Batan,2012,3,11,2012-3-11,13.97753623
Batan,2012,3,12,2012-3-12,15.03402778
Batan,2012,3,13,2012-3-13,15.06597222
Batan,2012,3,14,2012-3-14,14.12986111
Batan,2012,3,15,2012-3-15,14.24027778
Batan,2012,3,16,2012-3-16,13.67152778
Batan,2012,3,17,2012-3-17,16.21180556
Batan,2012,3,18,2012-3-18,15.90486111
Batan,2012,3,19,2012-3-19,17.25555556
Batan,2012,3,20,2012-3-20,18.21180556
Batan,2012,3,21,2012-3-21,15.74305556
Batan,2012,3,22,2012-3-22,15.57291667
Batan,2012,3,23,2012-3-23,14.37259259
Batan,2012,3,24,2012-3-24,14.75763889
Batan,2012,3,25,2012-3-25,15.18819444
Batan,2012,3,26,2012-3-26,14.83888889
Batan,2012,3,27,2012-3-27,15.41388889
Batan,2012,3,28,2012-3-28,15.33194444
Batan,2012,3,29,2012-3-29,14.18333333
Batan,2012,3,30,2012-3-30,14.69652778
Batan,2012,3,31,2012-3-31,15.15555556
Batan,2012,4,1,2012-4-1,14.725
Batan,2012,4,2,2012-4-2,16.03768116
Batan,2012,4,3,2012-4-3,15.52152778
Batan,2012,4,4,2012-4-4,16.40416667
Batan,2012,4,5,2012-4-5,16.34375
Batan,2012,4,6,2012-4-6,18.37708333
Batan,2012,4,7,2012-4-7,16.33680556
Batan,2012,4,8,2012-4-8,15.48611111
Batan,2012,4,9,2012-4-9,15.09930556
Batan,2012,4,10,2012-4-10,15.94166667
Batan,2012,4,11,2012-4-11,18.30347222
Batan,2012,4,12,2012-4-12,18.33888889
Batan,2012,4,13,2012-4-13,17.58402778
Batan,2012,4,14,2012-4-14,15.91319444
Batan,2012,4,15,2012-4-15,16.90555556
Batan,2012,4,16,2012-4-16,17.23125
Batan,2012,4,17,2012-4-17,15.17222222
Batan,2012,4,18,2012-4-18,14.22361111
Batan,2012,4,19,2012-4-19,16.59583333
Batan,2012,4,20,2012-4-20,17.17777778
Batan,2012,4,21,2012-4-21,17.00625
Batan,2012,4,22,2012-4-22,15.56527778
Batan,2012,4,23,2012-4-23,13.33194444
Batan,2012,4,24,2012-4-24,13.63055556
Batan,2012,4,25,2012-4-25,15.46736111
Batan,2012,4,26,2012-4-26,15.24305556
Batan,2012,4,27,2012-4-27,16.78125
Batan,2012,4,28,2012-4-28,18.01111111
Batan,2012,4,29,2012-4-29,19.99166667
Batan,2012,4,30,2012-4-30,18.74027778
Batan,2012,5,1,2012-5-1,18.60347222
Batan,2012,5,2,2012-5-2,18.82013889
Batan,2012,5,3,2012-5-3,19.18680556
Batan,2012,5,4,2012-5-4,19.60416667
Batan,2012,5,5,2012-5-5,18.2
Batan,2012,5,6,2012-5-6,17.90138889
Batan,2012,5,7,2012-5-7,18.43125
Batan,2012,5,8,2012-5-8,18.80486111
Batan,2012,5,9,2012-5-9,18.06875
Batan,2012,5,10,2012-5-10,17.97430556
Batan,2012,5,11,2012-5-11,18.69375
Batan,2012,5,12,2012-5-12,16.98263889
Batan,2012,5,13,2012-5-13,15.95902778
Batan,2012,5,14,2012-5-14,17.66111111
Batan,2012,5,15,2012-5-15,18.12986111
Batan,2012,5,16,2012-5-16,16.90763889
Batan,2012,5,17,2012-5-17,17.0875
Batan,2012,5,18,2012-5-18,17.80833333
Batan,2012,5,19,2012-5-19,17.41527778
Batan,2012,5,20,2012-5-20,15.97708333
Batan,2012,5,21,2012-5-21,15.20416667
Batan,2012,5,22,2012-5-22,16.82847222
Batan,2012,5,23,2012-5-23,18.64930556
Batan,2012,5,24,2012-5-24,18.52013889
Batan,2012,5,25,2012-5-25,19.46805556
Batan,2012,5,26,2012-5-26,18.58194444
Batan,2012,5,27,2012-5-27,19.49027778
Batan,2012,5,28,2012-5-28,18.43541667
Batan,2012,5,29,2012-5-29,18.60555556
Batan,2012,5,30,2012-5-30,17.84583333
Batan,2012,5,31,2012-5-31,19.02569444
Batan,2012,6,1,2012-6-1,18.43888889
Batan,2012,6,2,2012-6-2,16.5
Batan,2012,6,3,2012-6-3,17.26458333
Batan,2012,6,4,2012-6-4,17.25625
Batan,2012,6,5,2012-6-5,17.95138889
Batan,2012,6,6,2012-6-6,19.03125
Batan,2012,6,7,2012-6-7,18.27083333
Batan,2012,6,8,2012-6-8,18.48402778
Batan,2012,6,9,2012-6-9,19.04513889
Batan,2012,6,10,2012-6-10,19.34861111
Batan,2012,6,11,2012-6-11,19.0875
Batan,2012,6,12,2012-6-12,19.07708333
Batan,2012,6,13,2012-6-13,17.84791667
Batan,2012,6,14,2012-6-14,18.29930556
Batan,2012,6,15,2012-6-15,17.28333333
Batan,2012,6,16,2012-6-16,16.04236111
Batan,2012,6,17,2012-6-17,15.5375
Batan,2012,6,18,2012-6-18,16.76388889
Batan,2012,6,19,2012-6-19,15.88472222
Batan,2012,6,20,2012-6-20,15.25625
Batan,2012,6,21,2012-6-21,15.96388889
Batan,2012,6,22,2012-6-22,16.24375
Batan,2012,6,23,2012-6-23,16.48194444
Batan,2012,6,24,2012-6-24,16.91458333
Batan,2012,6,25,2012-6-25,17.01875
Batan,2012,6,26,2012-6-26,17.09027778
Batan,2012,6,27,2012-6-27,17.24513889
Batan,2012,6,28,2012-6-28,15.89722222
Batan,2012,6,29,2012-6-29,16.84375
Batan,2012,6,30,2012-6-30,16.49583333
Batan,2012,7,1,2012-7-1,15.56458333
Batan,2012,7,2,2012-7-2,16.84305556
Batan,2012,7,3,2012-7-3,15.46319444
Batan,2012,7,4,2012-7-4,14.66458333
Batan,2012,7,5,2012-7-5,14.98611111
Batan,2012,7,6,2012-7-6,15.72777778
Batan,2012,7,7,2012-7-7,15.73958333
Batan,2012,7,8,2012-7-8,16.81388889
Batan,2012,7,9,2012-7-9,17.26944444
Batan,2012,7,10,2012-7-10,15.86041667
Batan,2012,7,11,2012-7-11,16.03125
Batan,2012,7,12,2012-7-12,16.83402778
Batan,2012,7,13,2012-7-13,15.97013889
Batan,2012,7,14,2012-7-14,14.97986111
Batan,2012,7,15,2012-7-15,14.94027778
Batan,2012,7,16,2012-7-16,15.14444444
Batan,2012,7,17,2012-7-17,15.72361111
