NameStation,Year,Month,Day,Fecha,Tprom
CENEB,2012,2,20,2/20/2012,13.58666667
CENEB,2012,2,21,2/21/2012,16.05294118
CENEB,2012,2,22,2/22/2012,14.18055556
CENEB,2012,2,23,2/23/2012,15.09861111
CENEB,2012,2,24,2/24/2012,17.32986111
CENEB,2012,2,25,2/25/2012,16.75486111
CENEB,2012,2,26,2/26/2012,16.48611111
CENEB,2012,2,27,2/27/2012,15.75763889
CENEB,2012,2,28,2/28/2012,15.61388889
CENEB,2012,2,29,2/29/2012,14.37777778
CENEB,2012,3,1,3/1/2012,15.05972222
CENEB,2012,3,2,3/2/2012,15.09097222
CENEB,2012,3,3,3/3/2012,16.43958333
CENEB,2012,3,4,3/4/2012,16.50694444
CENEB,2012,3,5,3/5/2012,15.82083333
CENEB,2012,3,6,3/6/2012,16.93055556
CENEB,2012,3,7,3/7/2012,17.28263889
CENEB,2012,3,8,3/8/2012,14.09791667
CENEB,2012,3,9,3/9/2012,13.76527778
CENEB,2012,3,10,3/10/2012,15.26458333
CENEB,2012,3,11,3/11/2012,16.58550725
CENEB,2012,3,12,3/12/2012,15.71319444
CENEB,2012,3,13,3/13/2012,16.32013889
CENEB,2012,3,14,3/14/2012,16.86944444
CENEB,2012,3,15,3/15/2012,17.16666667
CENEB,2012,3,16,3/16/2012,19.15486111
CENEB,2012,3,17,3/17/2012,17.44236111
CENEB,2012,3,18,3/18/2012,16.99305556
CENEB,2012,3,19,3/19/2012,14.80972222
CENEB,2012,3,20,3/20/2012,15.11875
CENEB,2012,3,21,3/21/2012,15.08819444
CENEB,2012,3,22,3/22/2012,16.11180556
CENEB,2012,3,23,3/23/2012,16.94722222
CENEB,2012,3,24,3/24/2012,17.50763889
CENEB,2012,3,25,3/25/2012,16.92916667
CENEB,2012,3,26,3/26/2012,16.66041667
CENEB,2012,3,27,3/27/2012,17.26111111
CENEB,2012,3,28,3/28/2012,10.62166667
CENEB,2012,6,18,6/18/2012,27.12916667
CENEB,2012,6,19,6/19/2012,30.81666667
CENEB,2012,6,20,6/20/2012,30.91805556
CENEB,2012,6,21,6/21/2012,31.32361111
CENEB,2012,6,22,6/22/2012,30.89861111
CENEB,2012,6,23,6/23/2012,30.69166667
CENEB,2012,6,24,6/24/2012,30.54652778
CENEB,2012,6,25,6/25/2012,30.20694444
CENEB,2012,6,26,6/26/2012,31.28402778
CENEB,2012,6,27,6/27/2012,32.01666667
CENEB,2012,6,28,6/28/2012,31.71944444
CENEB,2012,6,29,6/29/2012,31.9
CENEB,2012,6,30,6/30/2012,31.91180556
CENEB,2012,7,1,7/1/2012,30.62777778
CENEB,2012,7,2,7/2/2012,28.89027778
