StationName,Year,Month,Day,Fecha,Tprom
Toluca,2012,1,1,2012-1-1,9.07
Toluca,2012,1,2,2012-1-2,8.97
Toluca,2012,1,3,2012-1-3,6.84
Toluca,2012,1,4,2012-1-4,8.03
Toluca,2012,1,5,2012-1-5,8.08
Toluca,2012,1,6,2012-1-6,7.02
Toluca,2012,1,7,2012-1-7,7.77
Toluca,2012,1,8,2012-1-8,8.59
Toluca,2012,1,9,2012-1-9,7.93
Toluca,2012,1,10,2012-1-10,8.54
Toluca,2012,1,11,2012-1-11,8.71
Toluca,2012,1,12,2012-1-12,9.27
Toluca,2012,1,13,2012-1-13,9.33
Toluca,2012,1,14,2012-1-14,9.54
Toluca,2012,1,15,2012-1-15,9.62
Toluca,2012,1,16,2012-1-16,9.74
Toluca,2012,1,17,2012-1-17,11.1
Toluca,2012,1,18,2012-1-18,11.93
Toluca,2012,1,19,2012-1-19,10.87
Toluca,2012,1,20,2012-1-20,10.16
Toluca,2012,1,21,2012-1-21,11.23
Toluca,2012,1,22,2012-1-22,10.83
Toluca,2012,1,23,2012-1-23,11.4
Toluca,2012,1,24,2012-1-24,10.19
Toluca,2012,1,25,2012-1-25,8.66
Toluca,2012,1,26,2012-1-26,8.38
Toluca,2012,1,27,2012-1-27,8.47
Toluca,2012,1,28,2012-1-28,8.31
Toluca,2012,1,29,2012-1-29,8.92
Toluca,2012,1,30,2012-1-30,8.94
Toluca,2012,1,31,2012-1-31,9.42
Toluca,2012,2,1,2012-2-1,9.79
Toluca,2012,2,2,2012-2-2,8.84
Toluca,2012,2,3,2012-2-3,10.24
Toluca,2012,2,4,2012-2-4,11.06
Toluca,2012,2,5,2012-2-5,8.85
Toluca,2012,2,6,2012-2-6,6.89
Toluca,2012,2,7,2012-2-7,7.03
Toluca,2012,2,8,2012-2-8,8.6
Toluca,2012,2,9,2012-2-9,8.22
Toluca,2012,2,10,2012-2-10,7.76
Toluca,2012,2,11,2012-2-11,8.48
Toluca,2012,2,12,2012-2-12,8.76
Toluca,2012,2,13,2012-2-13,10.66
Toluca,2012,2,14,2012-2-14,11.06
Toluca,2012,2,15,2012-2-15,10.63
Toluca,2012,2,16,2012-2-16,10.66
Toluca,2012,2,17,2012-2-17,12.74166667
Toluca,2012,2,18,2012-2-18,10.54270833
Toluca,2012,2,19,2012-2-19,10.36979167
Toluca,2012,2,20,2012-2-20,11.17916667
Toluca,2012,2,21,2012-2-21,11.125
Toluca,2012,2,22,2012-2-22,11.41041667
Toluca,2012,2,23,2012-2-23,11.71354167
Toluca,2012,2,24,2012-2-24,11.44583333
Toluca,2012,2,25,2012-2-25,11.075
Toluca,2012,2,26,2012-2-26,11.23020833
Toluca,2012,2,27,2012-2-27,11.40208333
Toluca,2012,2,28,2012-2-28,11.76458333
Toluca,2012,2,29,2012-2-29,11.94583333
Toluca,2012,3,1,2012-3-1,12.51666667
Toluca,2012,3,2,2012-3-2,13.05729167
Toluca,2012,3,3,2012-3-3,13.45
Toluca,2012,3,4,2012-3-4,11.70416667
Toluca,2012,3,5,2012-3-5,12.50104167
Toluca,2012,3,6,2012-3-6,11.55208333
Toluca,2012,3,7,2012-3-7,12.12604167
Toluca,2012,3,8,2012-3-8,13.25416667
Toluca,2012,3,9,2012-3-9,13.06979167
Toluca,2012,3,10,2012-3-10,12.340625
Toluca,2012,3,11,2012-3-11,12.71847826
Toluca,2012,3,12,2012-3-12,11.97083333
Toluca,2012,3,13,2012-3-13,11.83645833
Toluca,2012,3,14,2012-3-14,12.384375
Toluca,2012,3,15,2012-3-15,12.14270833
Toluca,2012,3,16,2012-3-16,11.315625
Toluca,2012,3,17,2012-3-17,11.15416667
Toluca,2012,3,18,2012-3-18,11.82291667
Toluca,2012,3,19,2012-3-19,12.61666667
Toluca,2012,3,20,2012-3-20,10.47395833
Toluca,2012,3,21,2012-3-21,9.626041667
Toluca,2012,3,22,2012-3-22,10.34270833
Toluca,2012,3,23,2012-3-23,10.83541667
Toluca,2012,3,24,2012-3-24,10.221875
Toluca,2012,3,25,2012-3-25,10.78541667
Toluca,2012,3,26,2012-3-26,10.86979167
Toluca,2012,3,27,2012-3-27,11.253125
Toluca,2012,3,28,2012-3-28,11.60104167
Toluca,2012,3,29,2012-3-29,10.834375
Toluca,2012,3,30,2012-3-30,11.390625
Toluca,2012,3,31,2012-3-31,12.06666667
Toluca,2012,4,1,2012-4-1,13.02916667
Toluca,2012,4,2,2012-4-2,12.359375
Toluca,2012,4,3,2012-4-3,11.17604167
Toluca,2012,4,4,2012-4-4,11.77083333
Toluca,2012,4,5,2012-4-5,12.53020833
Toluca,2012,4,6,2012-4-6,13.06979167
Toluca,2012,4,7,2012-4-7,11.75833333
Toluca,2012,4,8,2012-4-8,11.690625
Toluca,2012,4,9,2012-4-9,11.93333333
Toluca,2012,4,10,2012-4-10,12.084375
Toluca,2012,4,11,2012-4-11,14.01770833
Toluca,2012,4,12,2012-4-12,13.49166667
Toluca,2012,4,13,2012-4-13,12.68020833
Toluca,2012,4,14,2012-4-14,12.69270833
Toluca,2012,4,15,2012-4-15,12.30208333
Toluca,2012,4,16,2012-4-16,12.34791667
Toluca,2012,4,17,2012-4-17,11.96666667
Toluca,2012,4,18,2012-4-18,11.76041667
Toluca,2012,4,19,2012-4-19,13.046875
Toluca,2012,4,20,2012-4-20,12.95208333
Toluca,2012,4,21,2012-4-21,12.828125
Toluca,2012,4,22,2012-4-22,13.56145833
Toluca,2012,4,23,2012-4-23,5.6525
Toluca,2012,5,11,2012-5-11,14.65384615
Toluca,2012,5,12,2012-5-12,13.69270833
Toluca,2012,5,13,2012-5-13,13.96666667
Toluca,2012,5,14,2012-5-14,14.78333333
Toluca,2012,5,15,2012-5-15,15.25520833
Toluca,2012,5,16,2012-5-16,13.84270833
Toluca,2012,5,17,2012-5-17,14.20416667
Toluca,2012,5,18,2012-5-18,15.54895833
Toluca,2012,5,19,2012-5-19,15.20416667
Toluca,2012,5,20,2012-5-20,15.21041667
Toluca,2012,5,21,2012-5-21,13.18333333
Toluca,2012,5,22,2012-5-22,15.1
Toluca,2012,5,23,2012-5-23,15.915625
Toluca,2012,5,24,2012-5-24,15.81041667
Toluca,2012,5,25,2012-5-25,14.38541667
Toluca,2012,5,26,2012-5-26,15.33229167
